'Order Date','State','Category','Sales'
'11/11/2014','Oklahoma','Technology','$221.98'
'11/11/2014','Oklahoma','Furniture','$341.96'
'3/6/2012','Washington','Furniture','$48.71'
'3/6/2012','Washington','Office Supplies','$17.94'
'2/19/2012','Texas','Office Supplies','$12.62'
'3/6/2012','Washington','Office Supplies','$242.94'
'4/21/2012','New York','Office Supplies','$247.84'
'12/27/2013','California','Technology','$668.16'
'12/27/2013','California','Office Supplies','$323.10'
'5/12/2012','California','Furniture','$279.46'
'12/30/2012','New York','Technology','$34.77'
'3/21/2014','Mississippi','Furniture','$86.45'
